internship_id,job_title,job_type,company_name,sector,description,required_skills,preferred_education,eligible_branches,cities,states,location_type,stipend,start_date,duration_months,number_of_openings,last_date_to_apply,work_mode,minimum_qualification,experience_required
SIH2026-0299,Telecom Network Intern,Internship,Vikas Networks Indore,Telecommunications,"Synthetic 4-month telecom network intern opportunity supporting telecommunications projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Indore.","[""Networking"", ""Telecommunications"", ""Fiber Optics""]",Diploma / B.Tech,"[""Electronics"", ""Telecommunications"", ""Electrical Engineering"", ""Information Technology""]",Indore,Madhya Pradesh,On-site,15500,2027-03-24,4,12,2027-02-08,In-office,Diploma,No prior experience required
SIH2026-0300,IT Support Intern,Internship,BharatSetu Industries Imphal,IT,"Synthetic 6-month it support intern opportunity supporting it projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Imphal.","[""Linux"", ""Networking"", ""Troubleshooting""]",BCA / B.Sc. IT / B.Tech,"[""Computer Science"", ""Information Technology"", ""Electronics""]",Imphal,Manipur,On-site,16250,2027-03-27,6,13,2027-02-10,In-office,Graduate,No prior experience required
SIH2026-0301,Frontend Development,Internship,Pragati Initiatives Vijayawada,Software Development,"Synthetic 2-month frontend development opportunity supporting software development projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Vijayawada.","[""Python"", ""JavaScript"", ""React"", ""SQL""]",B.Tech / BCA / MCA,"[""Computer Science"", ""Information Technology"", ""Software Engineering""]",Vijayawada,Andhra Pradesh,Hybrid,17000,2027-03-30,2,14,2027-03-09,Hybrid,Graduate,No prior experience required
SIH2026-0302,Data Analytics Intern,Internship,Navbharat Projects Pune,Data Science,"Synthetic 3-month data analytics intern opportunity supporting data science projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Pune.","[""Python"", ""SQL"", ""MS Excel""]",B.Sc. / BCA / B.Tech / MBA,"[""Data Science"", ""Computer Science"", ""Statistics"", ""Mathematics"", ""Commerce""]",Pune,Maharashtra,On-site,17750,2027-04-02,3,15,2027-03-11,In-office,Graduate,No prior experience required
SIH2026-0303,Machine Learning Intern,Internship,Sampurna Services Noida,AI/ML,"Synthetic 3-month machine learning intern opportunity supporting ai/ml projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Noida.","[""Python"", ""Machine Learning"", ""Data Analysis""]",B.Tech / M.Tech / M.Sc.,"[""Computer Science"", ""Data Science"", ""Artificial Intelligence"", ""Electronics""]",Noida,Uttar Pradesh,On-site,18500,2027-04-05,3,16,2027-03-13,In-office,Graduate,No prior experience required
SIH2026-0304,SOC Analyst Intern,Internship,Udaan Enterprises Gandhinagar,Cybersecurity,"Synthetic 4-month soc analyst intern opportunity supporting cybersecurity projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Gandhinagar.","[""Cybersecurity"", ""Networking"", ""Linux""]",B.Tech / BCA / B.Sc. IT,"[""Computer Science"", ""Information Technology"", ""Cybersecurity"", ""Electronics""]",Gandhinagar,Gujarat,On-site,19250,2027-04-08,4,17,2027-03-15,In-office,Graduate,No prior experience required
SIH2026-0305,Electronics Design Intern,Internship,Saksham Solutions Ranchi,Electronics,"Synthetic 6-month electronics design intern opportunity supporting electronics projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Ranchi.","[""Embedded C"", ""Microcontrollers"", ""PCB Design"", ""Arduino""]",Diploma / B.Tech,"[""Electronics"", ""Electrical Engineering"", ""Instrumentation""]",Ranchi,Jharkhand,On-site,20000,2027-04-11,6,18,2027-03-17,In-office,Diploma,0-1 years preferred
SIH2026-0306,Manufacturing Operations Intern,Internship,Nayi Disha Technologies Thiruvananthapuram,Manufacturing,"Synthetic 2-month manufacturing operations intern opportunity supporting manufacturing projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Thiruvananthapuram.","[""MS Excel"", ""Quality Control"", ""Lean Manufacturing""]",Diploma / B.Tech / BBA,"[""Mechanical Engineering"", ""Industrial Engineering"", ""Production Engineering"", ""Business Administration""]",Thiruvananthapuram,Kerala,Hybrid,20750,2027-04-14,2,19,2027-03-19,Hybrid,Diploma,No prior experience required
SIH2026-0307,EV Systems Intern,Internship,JanMitra Networks Dehradun,Automobile,"Synthetic 3-month ev systems intern opportunity supporting automobile projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Dehradun.","[""Automobile Engineering"", ""Diagnostics"", ""Testing""]",Diploma / B.Tech,"[""Automobile Engineering"", ""Mechanical Engineering"", ""Electrical Engineering""]",Dehradun,Uttarakhand,Remote,21500,2027-04-17,3,20,2027-03-21,Remote,Diploma,No prior experience required
SIH2026-0308,Finance Operations Intern,Internship,Aarambh Industries Bengaluru,Finance,"Synthetic 3-month finance operations intern opportunity supporting finance projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Bengaluru.","[""MS Excel"", ""Financial Analysis"", ""Accounting""]",B.Com / BBA / MBA,"[""Commerce"", ""Finance"", ""Business Administration"", ""Economics""]",Bengaluru,Karnataka,On-site,20250,2027-04-20,3,21,2027-03-23,In-office,Graduate,No prior experience required
SIH2026-0309,Banking Services Intern,Internship,Vikas Initiatives Chennai,Banking,"Synthetic 4-month banking services intern opportunity supporting banking projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Chennai.","[""MS Excel"", ""Customer Service"", ""KYC"", ""Communication""]",B.Com / BBA / BA,"[""Commerce"", ""Finance"", ""Business Administration"", ""Economics""]",Chennai,Tamil Nadu,On-site,21000,2027-04-23,4,22,2027-03-25,In-office,Graduate,No prior experience required
SIH2026-0310,Hospital Administration Intern,Internship,BharatSetu Projects Jaipur,Healthcare,"Synthetic 6-month hospital administration intern opportunity supporting healthcare projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Jaipur.","[""Communication"", ""MS Excel"", ""Documentation""]",B.Sc. / BPH / BBA,"[""Healthcare Management"", ""Public Health"", ""Nursing"", ""Life Sciences"", ""Business Administration""]",Jaipur,Rajasthan,On-site,21750,2027-04-26,6,23,2027-03-27,In-office,Graduate,No prior experience required
SIH2026-0311,Agriculture Extension Intern,Internship,Pragati Services Bhubaneswar,Agriculture,"Synthetic 2-month agriculture extension intern opportunity supporting agriculture projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Bhubaneswar.","[""Agriculture"", ""Field Survey"", ""MS Excel""]",Diploma / B.Sc. / B.Tech,"[""Agriculture"", ""Horticulture"", ""Food Technology"", ""Rural Development""]",Bhubaneswar,Odisha,Hybrid,22500,2027-04-29,2,24,2027-03-29,Hybrid,Diploma,No prior experience required
SIH2026-0312,Renewable Energy Intern,Internship,Navbharat Enterprises Indore,Renewable Energy,"Synthetic 3-month renewable energy intern opportunity supporting renewable energy projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Indore.","[""Solar Energy"", ""MS Excel"", ""AutoCAD""]",Diploma / B.Tech,"[""Electrical Engineering"", ""Mechanical Engineering"", ""Renewable Energy"", ""Civil Engineering""]",Indore,Madhya Pradesh,On-site,25250,2027-05-02,3,25,2027-03-31,In-office,Diploma,No prior experience required
SIH2026-0313,Curriculum Support Intern,Internship,Sampurna Solutions Agartala,Education,"Synthetic 3-month curriculum support intern opportunity supporting education projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Agartala.","[""Communication"", ""Content Writing"", ""MS Excel"", ""Teaching""]",BA / B.Sc. / B.Ed. / BBA,"[""Education"", ""Arts"", ""Science"", ""Social Work"", ""Business Administration""]",Agartala,Tripura,On-site,6000,2027-05-05,3,2,2027-04-02,In-office,Graduate,0-1 years preferred
SIH2026-0314,Public Administration Intern,Internship,Udaan Technologies Visakhapatnam,Government,"Synthetic 4-month public administration intern opportunity supporting government projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Visakhapatnam.","[""MS Excel"", ""Communication"", ""Documentation""]",Graduate / Postgraduate,"[""Public Administration"", ""Political Science"", ""Economics"", ""Social Work"", ""Law""]",Visakhapatnam,Andhra Pradesh,On-site,6750,2027-05-08,4,3,2027-04-04,In-office,Graduate,No prior experience required
SIH2026-0315,E-Governance Support Intern,Internship,Saksham Networks Warangal,E-Governance,"Synthetic 6-month e-governance support intern opportunity supporting e-governance projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Warangal.","[""MS Excel"", ""Data Entry"", ""Documentation""]",Diploma / Graduate,"[""Computer Science"", ""Information Technology"", ""Public Administration"", ""Business Administration""]",Warangal,Telangana,On-site,7500,2027-05-11,6,4,2027-04-06,In-office,Diploma,No prior experience required
SIH2026-0316,Heritage Tourism Intern,Internship,Nayi Disha Industries New Delhi,Tourism,"Synthetic 2-month heritage tourism intern opportunity supporting tourism projects. The intern will assist the team with supervised assignments, documentation, and practical project work in New Delhi.","[""Customer Service"", ""Communication"", ""MS Excel""]",Diploma / Graduate,"[""Tourism"", ""Hospitality"", ""Business Administration"", ""Arts""]",New Delhi,Delhi,Hybrid,8250,2027-05-14,2,5,2027-04-08,Hybrid,Diploma,No prior experience required
SIH2026-0317,Logistics Coordinator Intern,Internship,JanMitra Initiatives Surat,Logistics,"Synthetic 3-month logistics coordinator intern opportunity supporting logistics projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Surat.","[""MS Excel"", ""Inventory Management"", ""Communication"", ""Data Analysis""]",Diploma / BBA / B.Tech,"[""Logistics"", ""Supply Chain Management"", ""Business Administration"", ""Industrial Engineering""]",Surat,Gujarat,On-site,9000,2027-05-17,3,6,2027-04-10,In-office,Diploma,No prior experience required
SIH2026-0318,Digital Marketing Intern,Internship,Aarambh Projects Gaya,Marketing,"Synthetic 3-month digital marketing intern opportunity supporting marketing projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Gaya.","[""Digital Marketing"", ""Content Writing"", ""Communication""]",Graduate / Diploma,"[""Marketing"", ""Business Administration"", ""Commerce"", ""Arts"", ""Mass Communication""]",Gaya,Bihar,On-site,9750,2027-05-20,3,7,2027-04-12,In-office,Diploma,No prior experience required
SIH2026-0319,Talent Acquisition Intern,Internship,Vikas Services Kochi,HR,"Synthetic 4-month talent acquisition intern opportunity supporting hr projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Kochi.","[""Communication"", ""MS Excel"", ""Recruitment""]",BBA / BA / MBA,"[""Human Resources"", ""Business Administration"", ""Psychology"", ""Arts"", ""Commerce""]",Kochi,Kerala,On-site,10500,2027-05-23,4,8,2027-04-14,In-office,Graduate,No prior experience required
SIH2026-0320,Rural Development Intern,Internship,BharatSetu Enterprises Jammu,Rural Development,"Synthetic 6-month rural development intern opportunity supporting rural development projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Jammu.","[""Field Survey"", ""Communication"", ""Data Collection""]",Diploma / Graduate,"[""Rural Development"", ""Social Work"", ""Agriculture"", ""Economics"", ""Public Administration""]",Jammu,Jammu and Kashmir,On-site,11250,2027-05-26,6,9,2027-04-16,In-office,Diploma,No prior experience required
SIH2026-0321,Infrastructure Planning Intern,Internship,Pragati Solutions Port Blair,Infrastructure,"Synthetic 2-month infrastructure planning intern opportunity supporting infrastructure projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Port Blair.","[""AutoCAD"", ""MS Excel"", ""Documentation"", ""Site Survey""]",Diploma / B.Tech,"[""Civil Engineering"", ""Architecture"", ""Urban Planning"", ""Mechanical Engineering""]",Port Blair,Andaman and Nicobar Islands,Hybrid,14000,2027-05-29,2,10,2027-04-18,Hybrid,Diploma,0-1 years preferred
SIH2026-0322,Network Operations Intern,Internship,Navbharat Technologies Nagpur,Telecommunications,"Synthetic 3-month network operations intern opportunity supporting telecommunications projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Nagpur.","[""Networking"", ""Telecommunications"", ""Fiber Optics""]",Diploma / B.Tech,"[""Electronics"", ""Telecommunications"", ""Electrical Engineering"", ""Information Technology""]",Nagpur,Maharashtra,On-site,14750,2027-06-01,3,11,2027-04-20,In-office,Diploma,No prior experience required
SIH2026-0323,IT Support Intern,Internship,Sampurna Networks Jaipur,IT,"Synthetic 3-month it support intern opportunity supporting it projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Jaipur.","[""Linux"", ""Networking"", ""Troubleshooting""]",BCA / B.Sc. IT / B.Tech,"[""Computer Science"", ""Information Technology"", ""Electronics""]",Jaipur,Rajasthan,On-site,15500,2027-06-04,3,12,2027-04-22,In-office,Graduate,No prior experience required
SIH2026-0324,Software Development Intern,Internship,Udaan Industries Bhubaneswar,Software Development,"Synthetic 4-month software development intern opportunity supporting software development projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Bhubaneswar.","[""Python"", ""JavaScript"", ""React""]",B.Tech / BCA / MCA,"[""Computer Science"", ""Information Technology"", ""Software Engineering""]",Bhubaneswar,Odisha,Remote,16250,2027-06-07,4,13,2027-04-24,Remote,Graduate,No prior experience required
SIH2026-0325,Data Analyst,Internship,Saksham Initiatives Indore,Data Science,"Synthetic 6-month data analyst opportunity supporting data science projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Indore.","[""Python"", ""SQL"", ""MS Excel"", ""Data Analysis""]",B.Sc. / BCA / B.Tech / MBA,"[""Data Science"", ""Computer Science"", ""Statistics"", ""Mathematics"", ""Commerce""]",Indore,Madhya Pradesh,On-site,17000,2027-06-10,6,14,2027-04-26,In-office,Graduate,No prior experience required
SIH2026-0326,Machine Learning Intern,Internship,Nayi Disha Projects Agartala,AI/ML,"Synthetic 2-month machine learning intern opportunity supporting ai/ml projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Agartala.","[""Python"", ""Machine Learning"", ""Data Analysis""]",B.Tech / M.Tech / M.Sc.,"[""Computer Science"", ""Data Science"", ""Artificial Intelligence"", ""Electronics""]",Agartala,Tripura,Hybrid,17750,2027-06-13,2,15,2027-05-23,Hybrid,Graduate,No prior experience required
SIH2026-0327,Cybersecurity Intern,Internship,JanMitra Services Visakhapatnam,Cybersecurity,"Synthetic 3-month cybersecurity intern opportunity supporting cybersecurity projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Visakhapatnam.","[""Cybersecurity"", ""Networking"", ""Linux""]",B.Tech / BCA / B.Sc. IT,"[""Computer Science"", ""Information Technology"", ""Cybersecurity"", ""Electronics""]",Visakhapatnam,Andhra Pradesh,On-site,18500,2027-06-16,3,16,2027-05-25,In-office,Graduate,No prior experience required
SIH2026-0328,PCB Design Intern,Internship,Aarambh Enterprises Warangal,Electronics,"Synthetic 3-month pcb design intern opportunity supporting electronics projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Warangal.","[""Embedded C"", ""Microcontrollers"", ""PCB Design""]",Diploma / B.Tech,"[""Electronics"", ""Electrical Engineering"", ""Instrumentation""]",Warangal,Telangana,On-site,19250,2027-06-19,3,17,2027-05-27,In-office,Diploma,No prior experience required
SIH2026-0329,Manufacturing Operations Intern,Internship,Vikas Solutions New Delhi,Manufacturing,"Synthetic 4-month manufacturing operations intern opportunity supporting manufacturing projects. The intern will assist the team with supervised assignments, documentation, and practical project work in New Delhi.","[""MS Excel"", ""Quality Control"", ""Lean Manufacturing"", ""Documentation""]",Diploma / B.Tech / BBA,"[""Mechanical Engineering"", ""Industrial Engineering"", ""Production Engineering"", ""Business Administration""]",New Delhi,Delhi,On-site,20000,2027-06-22,4,18,2027-05-29,In-office,Diploma,0-1 years preferred
SIH2026-0330,Automobile Service Intern,Internship,BharatSetu Technologies Surat,Automobile,"Synthetic 6-month automobile service intern opportunity supporting automobile projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Surat.","[""Automobile Engineering"", ""Diagnostics"", ""Testing""]",Diploma / B.Tech,"[""Automobile Engineering"", ""Mechanical Engineering"", ""Electrical Engineering""]",Surat,Gujarat,On-site,20750,2027-06-25,6,19,2027-05-31,In-office,Diploma,No prior experience required
SIH2026-0331,Financial Analysis Intern,Internship,Pragati Networks Gaya,Finance,"Synthetic 2-month financial analysis intern opportunity supporting finance projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Gaya.","[""MS Excel"", ""Financial Analysis"", ""Accounting""]",B.Com / BBA / MBA,"[""Commerce"", ""Finance"", ""Business Administration"", ""Economics""]",Gaya,Bihar,Hybrid,19500,2027-06-28,2,20,2027-06-02,Hybrid,Graduate,No prior experience required
SIH2026-0332,Banking Services Intern,Internship,Navbharat Industries Kochi,Banking,"Synthetic 3-month banking services intern opportunity supporting banking projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Kochi.","[""MS Excel"", ""Customer Service"", ""KYC""]",B.Com / BBA / BA,"[""Commerce"", ""Finance"", ""Business Administration"", ""Economics""]",Kochi,Kerala,On-site,20250,2027-07-01,3,21,2027-06-04,In-office,Graduate,No prior experience required
SIH2026-0333,Healthcare Operations Intern,Internship,Sampurna Initiatives Jammu,Healthcare,"Synthetic 3-month healthcare operations intern opportunity supporting healthcare projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Jammu.","[""Communication"", ""MS Excel"", ""Documentation"", ""Data Entry""]",B.Sc. / BPH / BBA,"[""Healthcare Management"", ""Public Health"", ""Nursing"", ""Life Sciences"", ""Business Administration""]",Jammu,Jammu and Kashmir,On-site,21000,2027-07-04,3,22,2027-06-06,In-office,Graduate,No prior experience required
SIH2026-0334,Farm Data Intern,Internship,Udaan Projects Port Blair,Agriculture,"Synthetic 4-month farm data intern opportunity supporting agriculture projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Port Blair.","[""Agriculture"", ""Field Survey"", ""MS Excel""]",Diploma / B.Sc. / B.Tech,"[""Agriculture"", ""Horticulture"", ""Food Technology"", ""Rural Development""]",Port Blair,Andaman and Nicobar Islands,On-site,21750,2027-07-07,4,23,2027-06-08,In-office,Diploma,No prior experience required
SIH2026-0335,Renewable Energy Intern,Internship,Saksham Services Nagpur,Renewable Energy,"Synthetic 6-month renewable energy intern opportunity supporting renewable energy projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Nagpur.","[""Solar Energy"", ""MS Excel"", ""AutoCAD""]",Diploma / B.Tech,"[""Electrical Engineering"", ""Mechanical Engineering"", ""Renewable Energy"", ""Civil Engineering""]",Nagpur,Maharashtra,On-site,24500,2027-07-10,6,24,2027-06-10,In-office,Diploma,No prior experience required
SIH2026-0336,Education Programme Intern,Internship,Nayi Disha Enterprises Varanasi,Education,"Synthetic 2-month education programme intern opportunity supporting education projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Varanasi.","[""Communication"", ""Content Writing"", ""MS Excel""]",BA / B.Sc. / B.Ed. / BBA,"[""Education"", ""Arts"", ""Science"", ""Social Work"", ""Business Administration""]",Varanasi,Uttar Pradesh,Hybrid,23250,2027-07-13,2,25,2027-06-12,Hybrid,Graduate,No prior experience required
SIH2026-0337,Policy Research Intern,Internship,JanMitra Solutions Siliguri,Government,"Synthetic 3-month policy research intern opportunity supporting government projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Siliguri.","[""MS Excel"", ""Communication"", ""Documentation"", ""Research""]",Graduate / Postgraduate,"[""Public Administration"", ""Political Science"", ""Economics"", ""Social Work"", ""Law""]",Siliguri,West Bengal,On-site,6000,2027-07-16,3,2,2027-06-14,In-office,Graduate,0-1 years preferred
SIH2026-0338,E-Governance Support Intern,Internship,Aarambh Technologies Bhopal,E-Governance,"Synthetic 3-month e-governance support intern opportunity supporting e-governance projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Bhopal.","[""MS Excel"", ""Data Entry"", ""Documentation""]",Diploma / Graduate,"[""Computer Science"", ""Information Technology"", ""Public Administration"", ""Business Administration""]",Bhopal,Madhya Pradesh,On-site,6750,2027-07-19,3,3,2027-06-16,In-office,Diploma,No prior experience required
SIH2026-0339,Tourism Operations Intern,Internship,Vikas Networks Shillong,Tourism,"Synthetic 4-month tourism operations intern opportunity supporting tourism projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Shillong.","[""Customer Service"", ""Communication"", ""MS Excel""]",Diploma / Graduate,"[""Tourism"", ""Hospitality"", ""Business Administration"", ""Arts""]",Shillong,Meghalaya,On-site,7500,2027-07-22,4,4,2027-06-18,In-office,Diploma,No prior experience required
SIH2026-0340,Warehouse Operations Intern,Internship,BharatSetu Industries Chandigarh,Logistics,"Synthetic 6-month warehouse operations intern opportunity supporting logistics projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Chandigarh.","[""MS Excel"", ""Inventory Management"", ""Communication""]",Diploma / BBA / B.Tech,"[""Logistics"", ""Supply Chain Management"", ""Business Administration"", ""Industrial Engineering""]",Chandigarh,Chandigarh,On-site,8250,2027-07-25,6,5,2027-06-20,In-office,Diploma,No prior experience required
SIH2026-0341,Digital Marketing Intern,Internship,Pragati Initiatives Hyderabad,Marketing,"Synthetic 2-month digital marketing intern opportunity supporting marketing projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Hyderabad.","[""Digital Marketing"", ""Content Writing"", ""Communication"", ""MS Excel""]",Graduate / Diploma,"[""Marketing"", ""Business Administration"", ""Commerce"", ""Arts"", ""Mass Communication""]",Hyderabad,Telangana,Remote,9000,2027-07-28,2,6,2027-06-22,Remote,Diploma,No prior experience required
SIH2026-0342,Human Resources Intern,Internship,Navbharat Projects Madurai,HR,"Synthetic 3-month human resources intern opportunity supporting hr projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Madurai.","[""Communication"", ""MS Excel"", ""Recruitment""]",BBA / BA / MBA,"[""Human Resources"", ""Business Administration"", ""Psychology"", ""Arts"", ""Commerce""]",Madurai,Tamil Nadu,On-site,9750,2027-07-31,3,7,2027-06-24,In-office,Graduate,No prior experience required
SIH2026-0343,Community Outreach Intern,Internship,Sampurna Services Ahmedabad,Rural Development,"Synthetic 3-month community outreach intern opportunity supporting rural development projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Ahmedabad.","[""Field Survey"", ""Communication"", ""Data Collection""]",Diploma / Graduate,"[""Rural Development"", ""Social Work"", ""Agriculture"", ""Economics"", ""Public Administration""]",Ahmedabad,Gujarat,On-site,10500,2027-08-03,3,8,2027-06-26,In-office,Diploma,No prior experience required
SIH2026-0344,Infrastructure Planning Intern,Internship,Udaan Enterprises Patna,Infrastructure,"Synthetic 4-month infrastructure planning intern opportunity supporting infrastructure projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Patna.","[""AutoCAD"", ""MS Excel"", ""Documentation""]",Diploma / B.Tech,"[""Civil Engineering"", ""Architecture"", ""Urban Planning"", ""Mechanical Engineering""]",Patna,Bihar,On-site,13250,2027-08-06,4,9,2027-06-28,In-office,Diploma,No prior experience required
SIH2026-0345,Telecom Network Intern,Internship,Saksham Solutions Bilaspur,Telecommunications,"Synthetic 6-month telecom network intern opportunity supporting telecommunications projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Bilaspur.","[""Networking"", ""Telecommunications"", ""Fiber Optics"", ""Troubleshooting""]",Diploma / B.Tech,"[""Electronics"", ""Telecommunications"", ""Electrical Engineering"", ""Information Technology""]",Bilaspur,Chhattisgarh,On-site,14000,2027-08-09,6,10,2027-06-30,In-office,Diploma,0-1 years preferred
SIH2026-0346,Systems Administration,Internship,Nayi Disha Technologies Jammu,IT,"Synthetic 2-month systems administration opportunity supporting it projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Jammu.","[""Linux"", ""Networking"", ""Troubleshooting""]",BCA / B.Sc. IT / B.Tech,"[""Computer Science"", ""Information Technology"", ""Electronics""]",Jammu,Jammu and Kashmir,Hybrid,14750,2027-08-12,2,11,2027-07-02,Hybrid,Graduate,No prior experience required
SIH2026-0347,Software Development Intern,Internship,JanMitra Networks Port Blair,Software Development,"Synthetic 3-month software development intern opportunity supporting software development projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Port Blair.","[""Python"", ""JavaScript"", ""React""]",B.Tech / BCA / MCA,"[""Computer Science"", ""Information Technology"", ""Software Engineering""]",Port Blair,Andaman and Nicobar Islands,On-site,15500,2027-08-15,3,12,2027-07-04,In-office,Graduate,No prior experience required
SIH2026-0348,Data Analytics Intern,Internship,Aarambh Industries Nagpur,Data Science,"Synthetic 3-month data analytics intern opportunity supporting data science projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Nagpur.","[""Python"", ""SQL"", ""MS Excel""]",B.Sc. / BCA / B.Tech / MBA,"[""Data Science"", ""Computer Science"", ""Statistics"", ""Mathematics"", ""Commerce""]",Nagpur,Maharashtra,On-site,16250,2027-08-18,3,13,2027-07-06,In-office,Graduate,No prior experience required
SIH2026-0349,AI Research Intern,Internship,Vikas Initiatives Varanasi,AI/ML,"Synthetic 4-month ai research intern opportunity supporting ai/ml projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Varanasi.","[""Python"", ""Machine Learning"", ""Data Analysis"", ""Pandas""]",B.Tech / M.Tech / M.Sc.,"[""Computer Science"", ""Data Science"", ""Artificial Intelligence"", ""Electronics""]",Varanasi,Uttar Pradesh,On-site,17000,2027-08-21,4,14,2027-07-08,In-office,Graduate,No prior experience required
SIH2026-0350,Cybersecurity Intern,Internship,BharatSetu Projects Siliguri,Cybersecurity,"Synthetic 6-month cybersecurity intern opportunity supporting cybersecurity projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Siliguri.","[""Cybersecurity"", ""Networking"", ""Linux""]",B.Tech / BCA / B.Sc. IT,"[""Computer Science"", ""Information Technology"", ""Cybersecurity"", ""Electronics""]",Siliguri,West Bengal,On-site,17750,2027-08-24,6,15,2027-07-10,In-office,Graduate,No prior experience required
SIH2026-0351,Electronics Design Intern,Internship,Pragati Services Bhopal,Electronics,"Synthetic 2-month electronics design intern opportunity supporting electronics projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Bhopal.","[""Embedded C"", ""Microcontrollers"", ""PCB Design""]",Diploma / B.Tech,"[""Electronics"", ""Electrical Engineering"", ""Instrumentation""]",Bhopal,Madhya Pradesh,Hybrid,18500,2027-08-27,2,16,2027-08-06,Hybrid,Diploma,No prior experience required
SIH2026-0352,Quality Assurance Intern,Internship,Navbharat Enterprises Shillong,Manufacturing,"Synthetic 3-month quality assurance intern opportunity supporting manufacturing projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Shillong.","[""MS Excel"", ""Quality Control"", ""Lean Manufacturing""]",Diploma / B.Tech / BBA,"[""Mechanical Engineering"", ""Industrial Engineering"", ""Production Engineering"", ""Business Administration""]",Shillong,Meghalaya,On-site,19250,2027-08-30,3,17,2027-08-08,In-office,Diploma,No prior experience required
SIH2026-0353,Automobile Service Intern,Internship,Sampurna Solutions Chandigarh,Automobile,"Synthetic 3-month automobile service intern opportunity supporting automobile projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Chandigarh.","[""Automobile Engineering"", ""Diagnostics"", ""Testing"", ""MS Excel""]",Diploma / B.Tech,"[""Automobile Engineering"", ""Mechanical Engineering"", ""Electrical Engineering""]",Chandigarh,Chandigarh,On-site,20000,2027-09-02,3,18,2027-08-10,In-office,Diploma,0-1 years preferred
SIH2026-0354,Finance Operations Intern,Internship,Udaan Technologies Hyderabad,Finance,"Synthetic 4-month finance operations intern opportunity supporting finance projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Hyderabad.","[""MS Excel"", ""Financial Analysis"", ""Accounting""]",B.Com / BBA / MBA,"[""Commerce"", ""Finance"", ""Business Administration"", ""Economics""]",Hyderabad,Telangana,On-site,18750,2027-09-05,4,19,2027-08-12,In-office,Graduate,No prior experience required
SIH2026-0355,Credit Operations Intern,Internship,Saksham Networks Madurai,Banking,"Synthetic 6-month credit operations intern opportunity supporting banking projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Madurai.","[""MS Excel"", ""Customer Service"", ""KYC""]",B.Com / BBA / BA,"[""Commerce"", ""Finance"", ""Business Administration"", ""Economics""]",Madurai,Tamil Nadu,On-site,19500,2027-09-08,6,20,2027-08-14,In-office,Graduate,No prior experience required
